N_1._tr|B4IC01|B4IC01_DROSE	GO:0003723	GO:0003723
N_5456._tr|B4HQE1|B4HQE1_DROSE	
N_5457._tr|B4IAS8|B4IAS8_DROSE	
N_5458._tr|B4I7H6|B4I7H6_DROSE	
N_5459._tr|B4I4E9|B4I4E9_DROSE	GO:0008168	GO:0008168	GO:0008033
N_5460._tr|B4I024|B4I024_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0005515
N_5461._tr|B4HTG4|B4HTG4_DROSE	
N_5462._tr|B4HYG0|B4HYG0_DROSE	GO:0016787
N_5463._tr|B4I338|B4I338_DROSE	GO:0005509	GO:0005509	GO:0031639	GO:0005576	GO:0005515	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_5464._tr|B4HGU3|B4HGU3_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_5465._tr|B4I2Q5|B4I2Q5_DROSE	
N_5466._tr|B4HJX6|B4HJX6_DROSE	GO:0006850	GO:0005743
N_5467._tr|B4IDA9|B4IDA9_DROSE	GO:0051016	GO:0008290
N_5468._tr|B4HLD5|B4HLD5_DROSE	GO:0004252	GO:0006508
N_5469._tr|B4HIV4|B4HIV4_DROSE	GO:0016020
N_5470._tr|B4IL77|B4IL77_DROSE	GO:0003735	GO:0006412	GO:0005840
N_5471._tr|B4HYV0|B4HYV0_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5472._tr|B4HRE3|B4HRE3_DROSE	GO:0016757	GO:0016021
N_5473._tr|B4IPK0|B4IPK0_DROSE	GO:0003677	GO:0071821
N_5474._tr|B4ICD7|B4ICD7_DROSE	
N_5475._tr|B4I6Z2|B4I6Z2_DROSE	GO:0009055	GO:0051536
N_5476._tr|B4I914|B4I914_DROSE	GO:0046983
N_5477._tr|B4I4W6|B4I4W6_DROSE	
N_5478._tr|B4IDH7|B4IDH7_DROSE	GO:0006886	GO:0016192	GO:0035091	GO:0043130	GO:0035091	GO:0043130
N_5479._tr|B4HYK2|B4HYK2_DROSE	
N_5480._tr|B4HWF8|B4HWF8_DROSE	
N_5481._tr|B4HSZ8|B4HSZ8_DROSE	GO:0005515	GO:0005515
N_5482._tr|B4IMF0|B4IMF0_DROSE	
N_5483._tr|B4IIC1|B4IIC1_DROSE	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5484._tr|B4HVM5|B4HVM5_DROSE	GO:0005515
N_5485._tr|B4IHZ3|B4IHZ3_DROSE	GO:0008194	GO:0016758
N_5486._tr|B4ICM5|B4ICM5_DROSE	GO:0005515
N_5487._tr|B4HG97|B4HG97_DROSE	GO:0003677
N_5488._tr|B4HTH6|B4HTH6_DROSE	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_5489._tr|B4IEL1|B4IEL1_DROSE	
N_5490._tr|B4IC89|B4IC89_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_5491._tr|B4I9E1|B4I9E1_DROSE	GO:0050909	GO:0016021
N_5492._tr|B4I595|B4I595_DROSE	GO:0005515	GO:0005515
N_5493._tr|B4IFU9|B4IFU9_DROSE	
N_5494._tr|B4HP32|B4HP32_DROSE	
N_5495._tr|B4HRP7|B4HRP7_DROSE	GO:0003677
N_5496._tr|B4HFM3|B4HFM3_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_5497._tr|B4HNW6|B4HNW6_DROSE	GO:0016787
N_5498._tr|B4HDZ0|B4HDZ0_DROSE	GO:0005515
N_5499._tr|B4HP85|B4HP85_DROSE	GO:0007165	GO:0004867
N_5500._tr|B4IAK5|B4IAK5_DROSE	GO:0005515
N_5501._tr|B4IQA4|B4IQA4_DROSE	GO:0003677
N_5502._tr|B4IIU8|B4IIU8_DROSE	GO:0005515	GO:0005524	GO:0016887
N_5503._tr|B4HEX1|B4HEX1_DROSE	
N_5504._tr|B4ICM9|B4ICM9_DROSE	
N_5505._tr|B4HNC4|B4HNC4_DROSE	
N_5506._tr|B4HVJ4|B4HVJ4_DROSE	
N_5507._tr|B4HTE5|B4HTE5_DROSE	
N_5508._tr|B4IJ58|B4IJ58_DROSE	
N_5509._tr|B4INW6|B4INW6_DROSE	GO:0003735	GO:0006412	GO:0005840
N_5510._tr|B4HTD7|B4HTD7_DROSE	GO:0005515	GO:0005515	GO:0005515
N_5511._tr|B4IBZ4|B4IBZ4_DROSE	GO:0005515	GO:0005515
N_5512._tr|B4HZ88|B4HZ88_DROSE	
N_5513._tr|B4IHB3|B4IHB3_DROSE	GO:0016021
N_5514._tr|B4HJ97|B4HJ97_DROSE	
N_5515._tr|B4HF06|B4HF06_DROSE	
N_5516._tr|B4IEI1|B4IEI1_DROSE	
N_5517._tr|B4IJE9|B4IJE9_DROSE	GO:0005515
N_5518._tr|B4I4X2|B4I4X2_DROSE	
N_5519._tr|B4IFI9|B4IFI9_DROSE	GO:0005524	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525
N_5520._tr|B4IGW2|B4IGW2_DROSE	
N_5521._tr|B4IFT9|B4IFT9_DROSE	
N_5522._tr|B4IIP7|B4IIP7_DROSE	GO:0016810	GO:0005975	GO:0005515	GO:0008061	GO:0005576
N_5523._tr|B4HJ01|B4HJ01_DROSE	GO:0008061	GO:0005576
N_5524._tr|B4HP55|B4HP55_DROSE	
N_5525._tr|B4I4Y9|B4I4Y9_DROSE	GO:0008270	GO:0005634
N_5526._tr|B4INN2|B4INN2_DROSE	GO:0005085	GO:0032012
N_5527._tr|B4HUP2|B4HUP2_DROSE	
N_5528._tr|B4IHD0|B4IHD0_DROSE	GO:0008270	GO:0046872
N_5529._tr|B4HNX4|B4HNX4_DROSE	
N_5530._tr|B4I045|B4I045_DROSE	GO:0003723	GO:0005515
N_5531._tr|B4ICQ2|B4ICQ2_DROSE	GO:0008061	GO:0005576
N_5532._tr|B4HNG1|B4HNG1_DROSE	GO:0004252	GO:0006508
N_5533._tr|B4HY25|B4HY25_DROSE	
N_5534._tr|B4ILL9|B4ILL9_DROSE	
N_5535._tr|B4HI24|B4HI24_DROSE	GO:0003676	GO:0008408	GO:0006139
N_5536._tr|B4HEL4|B4HEL4_DROSE	
N_5537._tr|B4HWQ5|B4HWQ5_DROSE	GO:0003723	GO:0009982	GO:0001522	GO:0009451
N_5538._tr|B4I008|B4I008_DROSE	GO:0003735	GO:0006412	GO:0015934
N_5539._tr|B4HKF3|B4HKF3_DROSE	GO:0003677	GO:0008270	GO:0008270
N_5540._tr|B4ID88|B4ID88_DROSE	
N_5541._tr|B4I2Q7|B4I2Q7_DROSE	GO:0000287	GO:0004743	GO:0030955	GO:0006096
N_5542._tr|B4IJ29|B4IJ29_DROSE	GO:0022857	GO:0055085	GO:0016020
N_5543._tr|B4IGE2|B4IGE2_DROSE	GO:0003723
N_5544._tr|B4HUU7|B4HUU7_DROSE	GO:0008270	GO:0005634
N_5545._tr|B4HE04|B4HE04_DROSE	GO:0008168	GO:0008168
N_5546._tr|B4HNK2|B4HNK2_DROSE	GO:0004383	GO:0006182	GO:0009190	GO:0035556
N_5547._tr|B4IDF6|B4IDF6_DROSE	
N_5548._tr|B4I427|B4I427_DROSE	GO:0016787
N_5549._tr|B4HTG7|B4HTG7_DROSE	
N_5550._tr|B4HEB3|B4HEB3_DROSE	
N_5551._tr|B4I4I5|B4I4I5_DROSE	GO:0004055	GO:0005524	GO:0006526
N_5552._tr|B4I6V8|B4I6V8_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_5553._tr|B4I0F8|B4I0F8_DROSE	GO:0003723
N_5554._tr|B4I4V7|B4I4V7_DROSE	GO:0008236	GO:0006508	GO:0016787
N_5555._tr|B4HK03|B4HK03_DROSE	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_5556._tr|B4I649|B4I649_DROSE	GO:0005509	GO:0005544
N_5557._tr|B4HZ20|B4HZ20_DROSE	GO:0003779
N_5558._tr|B4HX23|B4HX23_DROSE	GO:0005524	GO:0016887
N_5559._tr|B4IDB7|B4IDB7_DROSE	GO:0032040
N_5560._tr|B4HI96|B4HI96_DROSE	GO:0016614	GO:0050660	GO:0016614
N_5561._sp|B4IF39|UBE2S_DROSE	
N_5562._tr|B4IQN7|B4IQN7_DROSE	GO:0000166	GO:0004812	GO:0005524	GO:0006418	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_5563._tr|B4HT21|B4HT21_DROSE	
N_5564._tr|B4HR75|B4HR75_DROSE	GO:0016620
N_5565._tr|B4HSB7|B4HSB7_DROSE	
N_5566._tr|B4HGZ2|B4HGZ2_DROSE	
N_5567._tr|B4IIG5|B4IIG5_DROSE	GO:0007165
N_5568._tr|B4HGM7|B4HGM7_DROSE	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016021	GO:0015105	GO:0015700	GO:0016021
N_5569._tr|B4I3J9|B4I3J9_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5570._tr|B4II43|B4II43_DROSE	
N_5571._tr|B4I3Y8|B4I3Y8_DROSE	GO:0005765
N_5572._tr|B4IKX5|B4IKX5_DROSE	
N_5573._tr|A4KCQ6|A4KCQ6_DROSE	GO:0050909	GO:0016021
N_5574._tr|B4HIB7|B4HIB7_DROSE	GO:0008270	GO:0005634
N_5575._tr|B4HFN9|B4HFN9_DROSE	
N_5576._tr|B4ILA2|B4ILA2_DROSE	
N_5577._tr|B4I7T4|B4I7T4_DROSE	GO:0005515
N_5578._tr|B4HX91|B4HX91_DROSE	
N_5579._tr|B4HW07|B4HW07_DROSE	GO:0005515	GO:0005515
N_5580._tr|B4I1K8|B4I1K8_DROSE	GO:0008236	GO:0006508	GO:0006508
N_5581._tr|B4I2B7|B4I2B7_DROSE	GO:0003779
N_5582._tr|B4ILD4|B4ILD4_DROSE	
N_5583._tr|B4IBV9|B4IBV9_DROSE	
N_5584._tr|Q6RCA3|Q6RCA3_DROSE	
N_5585._tr|B4HKX9|B4HKX9_DROSE	GO:0051603	GO:0005839
N_5586._tr|B4IIM6|B4IIM6_DROSE	GO:0003924	GO:0005525	GO:0005524	GO:0043531	GO:0005524	GO:0016887	GO:0005525	GO:0005524	GO:0016887
N_5587._tr|B4I2F7|B4I2F7_DROSE	GO:0022857	GO:0055085	GO:0016020
N_5588._tr|B4HKQ7|B4HKQ7_DROSE	
N_5589._tr|B4I4E7|B4I4E7_DROSE	
N_5590._tr|B4I9S7|B4I9S7_DROSE	GO:0003676	GO:0005524
N_5591._tr|B4IJN3|B4IJN3_DROSE	
N_5592._tr|B4I449|B4I449_DROSE	GO:0003682	GO:0043565	GO:0006355
N_5593._tr|B4HMG2|B4HMG2_DROSE	GO:0005515
N_5594._tr|B4HJI9|B4HJI9_DROSE	GO:0005515	GO:0005515	GO:0033130	GO:0043495	GO:0007268	GO:0005515
N_5595._tr|B4IMH1|B4IMH1_DROSE	
N_5596._tr|B4HV39|B4HV39_DROSE	
N_5597._tr|B4HH40|B4HH40_DROSE	
N_5598._tr|B4I3P7|B4I3P7_DROSE	
N_5599._tr|B4HJY3|B4HJY3_DROSE	
N_5600._tr|B4HQ63|B4HQ63_DROSE	
N_5601._tr|B4II22|B4II22_DROSE	GO:0003676	GO:0005524	GO:0004386
N_5602._tr|A4ZYT4|A4ZYT4_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5603._tr|B4HY58|B4HY58_DROSE	GO:0003824	GO:0005992
N_5604._tr|B4HW91|B4HW91_DROSE	
N_5605._tr|B4IAK0|B4IAK0_DROSE	GO:0004066	GO:0006529
N_5606._tr|B4HPX7|B4HPX7_DROSE	
N_5607._tr|B4I5P8|B4I5P8_DROSE	
N_5608._tr|B4HVU7|B4HVU7_DROSE	
N_5609._tr|B4HXM9|B4HXM9_DROSE	GO:0008324	GO:0006812	GO:0055085	GO:0016021
N_5610._tr|B4IB59|B4IB59_DROSE	GO:0003676	GO:0005524
N_5611._sp|B4IMF6|NFU1_DROSE	GO:0005506	GO:0051536	GO:0016226
N_5612._tr|B4IFB7|B4IFB7_DROSE	GO:0008168
N_5613._tr|B4HIB3|B4HIB3_DROSE	
N_5614._tr|B4HU60|B4HU60_DROSE	
N_5615._tr|B4HFN3|B4HFN3_DROSE	GO:0004252	GO:0006508
N_5616._tr|B4I133|B4I133_DROSE	GO:0016787
N_5617._tr|B4I0C2|B4I0C2_DROSE	
N_5618._tr|B4IAT0|B4IAT0_DROSE	
N_5619._tr|B4IK10|B4IK10_DROSE	GO:0050909	GO:0016021
N_5620._tr|B4IFW5|B4IFW5_DROSE	
N_5621._tr|B4IF54|B4IF54_DROSE	GO:0008289	GO:0006869	GO:0042157	GO:0005576
N_5622._tr|B4HJ10|B4HJ10_DROSE	GO:0016787
N_5623._tr|B4HRH7|B4HRH7_DROSE	
N_5624._tr|B4IEG9|B4IEG9_DROSE	GO:0005515	GO:0005515	GO:0005515
N_5625._tr|B4I8B8|B4I8B8_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_5626._tr|B4HYG5|B4HYG5_DROSE	
N_5627._tr|B4I0K5|B4I0K5_DROSE	
N_5628._tr|B4II21|B4II21_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5629._tr|B4IC36|B4IC36_DROSE	
N_5630._tr|B4HZB2|B4HZB2_DROSE	GO:0005515
N_5631._tr|B4HJG1|B4HJG1_DROSE	
N_5632._tr|B4I5I3|B4I5I3_DROSE	GO:0042073
N_5633._tr|B4INA3|B4INA3_DROSE	GO:0003910	GO:0005524	GO:0006281	GO:0006310	GO:0003677	GO:0003910	GO:0006281	GO:0006310	GO:0003910	GO:0006281	GO:0006310
N_5634._tr|B4HHK8|B4HHK8_DROSE	GO:0003723	GO:0003755	GO:0000413
N_5635._tr|B4HIF5|B4HIF5_DROSE	GO:0003676	GO:0016787	GO:0046872
N_5636._tr|B4HID8|B4HID8_DROSE	GO:0008194	GO:0016758
N_5637._tr|B4IP30|B4IP30_DROSE	
N_5638._tr|B4HXN6|B4HXN6_DROSE	
N_5639._tr|B4HFQ8|B4HFQ8_DROSE	GO:0003723	GO:0003723
N_5640._tr|B4HHI5|B4HHI5_DROSE	GO:0004565	GO:0005975	GO:0009341
N_5641._tr|B4HUX4|B4HUX4_DROSE	GO:0008234	GO:0006508
N_5642._tr|B4HQ60|B4HQ60_DROSE	
N_5643._tr|B4HRN8|B4HRN8_DROSE	GO:0005515	GO:0043565	GO:0005515
N_5644._tr|B4HZI3|B4HZI3_DROSE	
N_5645._tr|B4I1W5|B4I1W5_DROSE	GO:0008236	GO:0006508	GO:0016787
N_5646._tr|B4HKM1|B4HKM1_DROSE	GO:0004970	GO:0016020	GO:0015276	GO:0016020
N_5647._tr|B4IGF8|B4IGF8_DROSE	
N_5648._tr|B4HPU7|B4HPU7_DROSE	
N_5649._tr|B4I0T9|B4I0T9_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5650._tr|B4HRM9|B4HRM9_DROSE	
N_5651._tr|A4UM35|A4UM35_DROSE	GO:0007275	GO:0042600
N_5652._tr|B4IJG5|B4IJG5_DROSE	
N_5653._tr|B4IBZ7|B4IBZ7_DROSE	
N_5654._tr|B4HLQ1|B4HLQ1_DROSE	
N_5655._tr|B4IQC2|B4IQC2_DROSE	GO:0003677
N_5656._tr|B4IGK3|B4IGK3_DROSE	GO:0003677
N_5657._tr|B4HQS6|B4HQS6_DROSE	GO:0045132	GO:0000775	GO:0005634
N_5658._tr|B4I8E7|B4I8E7_DROSE	GO:0004252	GO:0006508
N_5659._tr|B4I4J0|B4I4J0_DROSE	GO:0003677
N_5660._tr|B4I2S7|B4I2S7_DROSE	GO:0003824
N_5661._tr|B4HIG4|B4HIG4_DROSE	
N_5662._tr|B4HIQ3|B4HIQ3_DROSE	GO:0003735	GO:0006412	GO:0005739	GO:0005840
N_5663._tr|B4HER9|B4HER9_DROSE	
N_5664._tr|B4I3D1|B4I3D1_DROSE	
N_5665._tr|B4HN42|B4HN42_DROSE	GO:0016491	GO:0016491	GO:0016491
N_5666._tr|B4HXQ4|B4HXQ4_DROSE	
N_5667._tr|B4I8Z4|B4I8Z4_DROSE	GO:0060271	GO:0060294	GO:0001534
N_5668._tr|B4HH33|B4HH33_DROSE	
N_5669._tr|B4I2B4|B4I2B4_DROSE	
N_5670._tr|B4INF7|B4INF7_DROSE	GO:0003677	GO:0006334	GO:0000786
N_5671._tr|B4I5P9|B4I5P9_DROSE	GO:0008270	GO:0005515	GO:0005515	GO:0005515	GO:0004842	GO:0046872	GO:0016567	GO:0005515	GO:0005515
N_5672._tr|B4HPW5|B4HPW5_DROSE	
N_5673._tr|B4HMM5|B4HMM5_DROSE	GO:0005515	GO:0005515	GO:0005515
N_5674._tr|B4HYA9|B4HYA9_DROSE	
N_5675._tr|B4HV29|B4HV29_DROSE	
N_5676._tr|B4I7I6|B4I7I6_DROSE	
N_5677._tr|B4IH36|B4IH36_DROSE	
N_5678._tr|A4KCT2|A4KCT2_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5679._tr|B4I2X3|B4I2X3_DROSE	GO:0015252	GO:1902600	GO:0016021
N_5680._tr|B4I471|B4I471_DROSE	GO:0006904	GO:0000145
N_5681._tr|B4IN81|B4IN81_DROSE	GO:0005509	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_5682._tr|B4HXC1|B4HXC1_DROSE	GO:0008237	GO:0008241	GO:0006508	GO:0016020
N_5683._tr|B4I0E1|B4I0E1_DROSE	GO:0055085
N_5684._tr|B4I4Z3|B4I4Z3_DROSE	
N_5685._tr|B4HET6|B4HET6_DROSE	GO:0005634
N_5686._tr|B4HX15|B4HX15_DROSE	GO:0005515	GO:0005509
N_5687._tr|B4HU32|B4HU32_DROSE	GO:0008270	GO:0005634
N_5688._tr|B4IDT2|B4IDT2_DROSE	GO:0005515
N_5689._tr|B4IL15|B4IL15_DROSE	
N_5690._tr|B4HNC7|B4HNC7_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_5691._tr|B4HLW6|B4HLW6_DROSE	
N_5692._tr|B4IPT7|B4IPT7_DROSE	GO:0003677	GO:0006334	GO:0000786
N_5693._tr|B4HVU1|B4HVU1_DROSE	GO:0003723	GO:0003723
N_5694._tr|B4IBR6|B4IBR6_DROSE	GO:0004252	GO:0006508	GO:0005515
N_5695._tr|B4HRK0|B4HRK0_DROSE	
N_5696._tr|B4I392|B4I392_DROSE	GO:0008080	GO:0003824	GO:0051536	GO:0008080
N_5697._tr|B4HFZ0|B4HFZ0_DROSE	GO:0017056	GO:0006913	GO:0005643
N_5698._tr|B4HRR7|B4HRR7_DROSE	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_5699._tr|B4HV72|B4HV72_DROSE	GO:0003723
N_5700._tr|B4IJ71|B4IJ71_DROSE	GO:0016614	GO:0050660	GO:0016614
N_5701._tr|B4I408|B4I408_DROSE	GO:0006338	GO:0000228
N_5702._tr|B4IPY1|B4IPY1_DROSE	GO:0008237	GO:0008241	GO:0006508	GO:0016020
N_5703._tr|B4HSQ6|B4HSQ6_DROSE	GO:0006891	GO:0017119
N_5704._tr|B4HHU3|B4HHU3_DROSE	GO:0035556
N_5705._tr|B4HZ63|B4HZ63_DROSE	
N_5706._tr|B4HG90|B4HG90_DROSE	GO:0008237	GO:0008270
N_5707._tr|B4I524|B4I524_DROSE	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_5708._tr|B4I088|B4I088_DROSE	
N_5709._tr|B4HP93|B4HP93_DROSE	
N_5710._tr|B4IGN5|B4IGN5_DROSE	
N_5711._tr|B4I069|B4I069_DROSE	
N_5712._tr|B4IK85|B4IK85_DROSE	
N_5713._tr|B4IKL9|B4IKL9_DROSE	GO:0005515	GO:0005515	GO:0005515
N_5714._tr|B4HK20|B4HK20_DROSE	GO:0007275	GO:0042600
N_5715._tr|B4HUL0|B4HUL0_DROSE	
N_5716._tr|B4IJ93|B4IJ93_DROSE	GO:0016021
N_5717._tr|B4I8W9|B4I8W9_DROSE	GO:0005975
N_5718._tr|B4IEN2|B4IEN2_DROSE	
N_5719._tr|B4HZF3|B4HZF3_DROSE	GO:0046855
N_5720._tr|Q9BM87|Q9BM87_DROSE	
N_5721._tr|B4IGB7|B4IGB7_DROSE	GO:0005515	GO:0005515	GO:0005515
N_5722._tr|B4IFX7|B4IFX7_DROSE	GO:0005743	GO:0005751
N_5723._tr|B4I4P8|B4I4P8_DROSE	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_5724._tr|B4IFI1|B4IFI1_DROSE	
N_5725._tr|B4IJN1|B4IJN1_DROSE	GO:0005515	GO:0005515
N_5726._sp|B4HNS0|TRE11_DROSE	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_5727._tr|B4HSZ2|B4HSZ2_DROSE	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_5728._tr|B4I8M7|B4I8M7_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5729._tr|B4HJ00|B4HJ00_DROSE	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_5730._tr|B4IKY2|B4IKY2_DROSE	
N_5731._tr|B4IB94|B4IB94_DROSE	
N_5732._tr|B4HK48|B4HK48_DROSE	GO:0003723	GO:0003723
N_5733._tr|B4I0H7|B4I0H7_DROSE	
N_5734._tr|B4ICK7|B4ICK7_DROSE	GO:0004332	GO:0006096
N_5735._tr|B4HWQ1|B4HWQ1_DROSE	
N_5736._tr|B4HWM5|B4HWM5_DROSE	GO:0006486	GO:0016021
N_5737._tr|B4HTF3|B4HTF3_DROSE	
N_5738._tr|B4HP17|B4HP17_DROSE	GO:0051287	GO:0050661	GO:0051287	GO:0070403	GO:0006631
N_5739._tr|B4I150|B4I150_DROSE	GO:0003700	GO:0043565	GO:0006355
N_5740._tr|B4IJE4|B4IJE4_DROSE	GO:0008270	GO:0005634
N_5741._tr|B4HT85|B4HT85_DROSE	GO:0003777	GO:0005524	GO:0008017	GO:0007018	GO:0008017	GO:0005515
N_5742._tr|B4IBM6|B4IBM6_DROSE	GO:0003924	GO:0005525	GO:0005525	GO:0005525	GO:0003924	GO:0005525
N_5743._tr|B4HKF9|B4HKF9_DROSE	GO:0005634
N_5744._tr|B4HIP6|B4HIP6_DROSE	GO:0006464
N_5745._tr|B4HSB5|B4HSB5_DROSE	GO:0007349	GO:0005737	GO:0016020
N_5746._tr|B4HWN1|B4HWN1_DROSE	GO:0046983
N_5747._tr|B4HNJ1|B4HNJ1_DROSE	GO:0005515	GO:0003677
N_5748._tr|B4HPE0|B4HPE0_DROSE	GO:0017053
N_5749._tr|B4HY18|B4HY18_DROSE	
N_5750._tr|B4HXQ8|B4HXQ8_DROSE	GO:0030170	GO:0009058	GO:0016829	GO:0006520
N_5751._tr|B4IL89|B4IL89_DROSE	
N_5752._tr|B4IAM9|B4IAM9_DROSE	
N_5753._tr|B4HLW0|B4HLW0_DROSE	GO:0005515
N_5754._tr|B4IAR4|B4IAR4_DROSE	GO:0005272	GO:0006814	GO:0016020
N_5755._tr|B4I4S6|B4I4S6_DROSE	
N_5756._tr|B4HU56|B4HU56_DROSE	GO:0004930	GO:0007186	GO:0016021
N_5757._tr|B4HE97|B4HE97_DROSE	GO:0016787
N_5758._tr|B4HRV3|B4HRV3_DROSE	
N_5759._tr|B4IH88|B4IH88_DROSE	GO:0005524	GO:0016887
N_5760._tr|B4IG39|B4IG39_DROSE	
N_5761._tr|B4HWJ7|B4HWJ7_DROSE	GO:0046983
N_5762._tr|B4IJ97|B4IJ97_DROSE	GO:0016746	GO:0016746
N_5763._tr|B4HTU4|B4HTU4_DROSE	GO:0016021
N_5764._tr|B4HWH5|B4HWH5_DROSE	GO:0006511	GO:0019773	GO:0051603	GO:0005839
N_5765._tr|B4HI29|B4HI29_DROSE	
N_5766._tr|B4IB87|B4IB87_DROSE	GO:0019843	GO:0006364
N_5767._tr|B4HDR8|B4HDR8_DROSE	GO:0008270	GO:0008270
N_5768._tr|B4HLM2|B4HLM2_DROSE	
N_5769._tr|B4IHK1|B4IHK1_DROSE	
N_5770._tr|B4HR48|B4HR48_DROSE	
N_5771._tr|B4IG25|B4IG25_DROSE	GO:0008146	GO:0016021
N_5772._tr|B4HQB7|B4HQB7_DROSE	GO:0051537	GO:0043231
N_5773._tr|B4HH19|B4HH19_DROSE	
N_5774._tr|B4IAL0|B4IAL0_DROSE	
N_5775._tr|B4HVM1|B4HVM1_DROSE	GO:0005085
N_5776._tr|B4HHH9|B4HHH9_DROSE	
N_5777._tr|B4HJ06|B4HJ06_DROSE	
N_5778._tr|B4IEM1|B4IEM1_DROSE	
N_5779._tr|B4IHT6|B4IHT6_DROSE	GO:0046961	GO:1902600	GO:0016471
N_5780._tr|B4HUI4|B4HUI4_DROSE	GO:0003824	GO:0009058	GO:0004140	GO:0005524	GO:0015937
N_5781._tr|B4IJJ8|B4IJJ8_DROSE	GO:0004674	GO:0005524	GO:0006468
N_5782._tr|B4I3F9|B4I3F9_DROSE	GO:0003723	GO:0005515	GO:0016070	GO:0016070
N_5783._tr|B4HYX9|B4HYX9_DROSE	
N_5784._tr|B4HNP5|B4HNP5_DROSE	GO:0005515	GO:0005515
N_5785._tr|B4HHF2|B4HHF2_DROSE	
N_5786._tr|B4ID67|B4ID67_DROSE	GO:0005515
N_5787._tr|B4HPK8|B4HPK8_DROSE	
N_5788._tr|B4HHZ7|B4HHZ7_DROSE	GO:0002098	GO:0033588
N_5789._tr|B4IGD3|B4IGD3_DROSE	
N_5790._tr|B4INC5|B4INC5_DROSE	
N_5791._tr|B4HKW2|B4HKW2_DROSE	GO:0005615	GO:0019239	GO:0003876	GO:0032264
N_5792._tr|B4HE69|B4HE69_DROSE	GO:0000287	GO:0004743	GO:0030955	GO:0006096
N_5793._tr|B4HS50|B4HS50_DROSE	
N_5794._tr|B4IJL5|B4IJL5_DROSE	
N_5795._tr|B4HSD4|B4HSD4_DROSE	GO:0004252	GO:0006508
N_5796._tr|B4IBE7|B4IBE7_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5797._tr|B4IKF4|B4IKF4_DROSE	
N_5798._tr|B4HFE2|B4HFE2_DROSE	GO:0000166	GO:0003677
N_5799._tr|B4HKT0|B4HKT0_DROSE	GO:0006122	GO:0005750
N_5800._tr|B4II34|B4II34_DROSE	GO:0005515
N_5801._tr|B4HG27|B4HG27_DROSE	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5802._tr|B4IDH3|B4IDH3_DROSE	GO:0005509
N_5803._tr|B4HZN9|B4HZN9_DROSE	GO:0003735	GO:0006412	GO:0005840
N_5804._tr|B4IIY6|B4IIY6_DROSE	GO:0005515	GO:0005515	GO:0003993	GO:0046872
N_5805._tr|B4ICH3|B4ICH3_DROSE	GO:0046983	GO:0003677	GO:0006355
N_5806._tr|B4HLQ3|B4HLQ3_DROSE	GO:0004864	GO:0009966	GO:0043666
N_5807._tr|B4IIT0|B4IIT0_DROSE	GO:0009190	GO:0035556
N_5808._tr|B4I087|B4I087_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5809._tr|B4IK12|B4IK12_DROSE	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5810._tr|B4IGD1|B4IGD1_DROSE	GO:0019887	GO:0005956
N_5811._tr|Q6QH03|Q6QH03_DROSE	GO:0006511	GO:0019773	GO:0051603	GO:0005839
N_5812._tr|B4I636|B4I636_DROSE	GO:0006366
