N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_10610._tr|B4QXW2|B4QXW2_DROSI	GO:0015116	GO:0008272	GO:0016021
N_10611._tr|B4R167|B4R167_DROSI	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_10612._tr|B4Q9P5|B4Q9P5_DROSI	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
N_10613._tr|A9YH03|A9YH03_DROSI	
N_10614._tr|Q9GPC7|Q9GPC7_DROSI	
N_10615._tr|A0A0J9UM33|A0A0J9UM33_DROSI	GO:0019901	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_10616._tr|A0A0J9U9D8|A0A0J9U9D8_DROSI	GO:0015267	GO:0055085	GO:0016020
N_10617._tr|D7F9U0|D7F9U0_DROSI	GO:0008527	GO:0050912	GO:0016021	GO:0050909	GO:0016021
N_10618._tr|A0A0J9U1A7|A0A0J9U1A7_DROSI	GO:0005856	GO:0005515	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0008017
N_10619._tr|B4Q5J9|B4Q5J9_DROSI	
N_10620._tr|B4QAE9|B4QAE9_DROSI	GO:0016021
N_10621._tr|A0A0J9RM26|A0A0J9RM26_DROSI	GO:0008417	GO:0006486	GO:0016020
N_10622._tr|B4Q698|B4Q698_DROSI	GO:0016758	GO:0006486	GO:0016020
N_10623._tr|A5YWE3|A5YWE3_DROSI	
N_10624._tr|A0A0J9RTF2|A0A0J9RTF2_DROSI	GO:0070569
N_10625._tr|F6J6U3|F6J6U3_DROSI	GO:0016021
N_10626._sp|Q70PU2|PGSC1_DROSI	GO:0008745	GO:0009253
N_10627._tr|Q49BM4|Q49BM4_DROSI	GO:0005634
N_10628._tr|B4R2T0|B4R2T0_DROSI	
N_10629._tr|B4Q967|B4Q967_DROSI	
N_10630._tr|A0A0J9RX71|A0A0J9RX71_DROSI	GO:0005515	GO:0004842
N_10631._tr|D7FA26|D7FA26_DROSI	GO:0050909	GO:0016021
N_10632._tr|B4R474|B4R474_DROSI	GO:0003700	GO:0043565	GO:0006355
N_10633._tr|B4QZI5|B4QZI5_DROSI	GO:0009055	GO:0020037
N_10634._tr|A0A0J9RVE5|A0A0J9RVE5_DROSI	
N_10635._tr|B4R1V8|B4R1V8_DROSI	
N_10636._tr|A0A0J9RYH7|A0A0J9RYH7_DROSI	GO:0016491	GO:0016491	GO:0005515	GO:0016491
N_10637._tr|B4QT98|B4QT98_DROSI	GO:0008270	GO:0046872
N_10638._tr|A0A0J9QT41|A0A0J9QT41_DROSI	GO:0003723
N_10639._tr|A0A0J9RLQ4|A0A0J9RLQ4_DROSI	
N_10640._tr|B4NUJ6|B4NUJ6_DROSI	
N_10641._tr|B4QRQ9|B4QRQ9_DROSI	GO:0005515	GO:0005515	GO:0042802	GO:0005515
N_10642._tr|C0KG81|C0KG81_DROSI	
N_10643._tr|B4Q9Y0|B4Q9Y0_DROSI	
N_10644._tr|A0A0J9R335|A0A0J9R335_DROSI	GO:0006606
N_10645._tr|A0A0J9RP26|A0A0J9RP26_DROSI	GO:0015627
N_10646._tr|A0A0J9RVZ4|A0A0J9RVZ4_DROSI	GO:0016021
N_10647._tr|A8BPD5|A8BPD5_DROSI	
N_10648._tr|B4QL36|B4QL36_DROSI	
N_10649._tr|A0A0J9QXK0|A0A0J9QXK0_DROSI	GO:0006820	GO:0016021	GO:0008509	GO:0006820	GO:0016021
N_10650._tr|A0A0J9UHY9|A0A0J9UHY9_DROSI	GO:0019799	GO:0071929	GO:0005874
N_10651._tr|B4QIM7|B4QIM7_DROSI	
N_10652._tr|A0A0J9UMJ1|A0A0J9UMJ1_DROSI	
N_10653._tr|A0A0J9R5Y2|A0A0J9R5Y2_DROSI	GO:0004252	GO:0006508
N_10654._tr|B4NT05|B4NT05_DROSI	
N_10655._tr|B4QT02|B4QT02_DROSI	
N_10656._tr|B4R445|B4R445_DROSI	
N_10657._tr|A0A3S5ZY65|A0A3S5ZY65_DROSI	
N_10658._tr|B4QZV8|B4QZV8_DROSI	GO:0003677
N_10659._tr|B4QXE2|B4QXE2_DROSI	
N_10660._tr|B4QVK6|B4QVK6_DROSI	
N_10661._tr|B4QQ91|B4QQ91_DROSI	GO:0006351
N_10662._tr|B4QR96|B4QR96_DROSI	GO:0005549
N_10663._tr|B4QHM2|B4QHM2_DROSI	GO:0016491
N_10664._tr|B4QP79|B4QP79_DROSI	GO:0007064	GO:0031390
N_10665._tr|B4Q8U2|B4Q8U2_DROSI	GO:0016765	GO:0016021
N_10666._tr|B4QDY1|B4QDY1_DROSI	GO:0005515
N_10667._tr|D7F9P6|D7F9P6_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_10668._tr|B4R5D6|B4R5D6_DROSI	GO:0006807
N_10669._tr|A0A0J9RKZ9|A0A0J9RKZ9_DROSI	GO:0004930	GO:0004930	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_10670._tr|B4QC73|B4QC73_DROSI	GO:0006915
N_10671._tr|B4NU09|B4NU09_DROSI	GO:0016070
N_10672._tr|B4QM25|B4QM25_DROSI	
N_10673._tr|A0A0J9RQY9|A0A0J9RQY9_DROSI	GO:0004843	GO:0016579
N_10674._tr|B4QJG2|B4QJG2_DROSI	GO:0006355
N_10675._tr|A0A0J9TCK2|A0A0J9TCK2_DROSI	
N_10676._tr|A0A0J9QSX1|A0A0J9QSX1_DROSI	GO:0016810	GO:0005975	GO:0008061	GO:0005576
N_10677._tr|A0A0J9R4L7|A0A0J9R4L7_DROSI	
N_10678._tr|Q9NGE9|Q9NGE9_DROSI	GO:0016491
N_10679._tr|I7D2Y3|I7D2Y3_DROSI	GO:0015074
N_10680._tr|A0APB5|A0APB5_DROSI	GO:0003677	GO:0006334	GO:0000786
N_10681._tr|A0AQG9|A0AQG9_DROSI	GO:0003677
N_10682._tr|A0A0J9RMF9|A0A0J9RMF9_DROSI	
N_10683._tr|A0A0J9QWL2|A0A0J9QWL2_DROSI	GO:0005634
N_10684._tr|B4QDK9|B4QDK9_DROSI	GO:0046872
N_10685._tr|Q6PVG4|Q6PVG4_DROSI	GO:0006355	GO:0005515
N_10686._tr|B4QWT5|B4QWT5_DROSI	GO:0003700	GO:0043565	GO:0006355	GO:0043565
N_10687._tr|B4F590|B4F590_DROSI	GO:0003723
N_10688._tr|B4QIW4|B4QIW4_DROSI	GO:0004252	GO:0006508
N_10689._tr|B4QJA3|B4QJA3_DROSI	
N_10690._tr|A0A0J9RWA3|A0A0J9RWA3_DROSI	
N_10691._tr|B4QGH7|B4QGH7_DROSI	GO:0005515
N_10692._tr|A0A0J9RY63|A0A0J9RY63_DROSI	GO:0046872
N_10693._tr|Q6QH25|Q6QH25_DROSI	GO:0006511	GO:0019773	GO:0051603	GO:0005839
N_10694._tr|B4Q6T8|B4Q6T8_DROSI	
N_10695._tr|A0A0J9RKE9|A0A0J9RKE9_DROSI	GO:0019887	GO:0005956
N_10696._tr|B4QH58|B4QH58_DROSI	GO:0140664	GO:0005524	GO:0016887
N_10697._tr|A0A0J9RQW5|A0A0J9RQW5_DROSI	GO:0005515	GO:0005515	GO:0007165
N_10698._tr|A0A0J9TDH7|A0A0J9TDH7_DROSI	GO:0003824
N_10699._tr|B4QSU3|B4QSU3_DROSI	GO:0008083
N_10700._tr|A0A0J9RYH6|A0A0J9RYH6_DROSI	GO:0008061	GO:0005576
N_10701._tr|A0A0J9RJ30|A0A0J9RJ30_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_10702._tr|A0A0J9R9E0|A0A0J9R9E0_DROSI	GO:0005164	GO:0006955	GO:0016020
N_10703._tr|A0A0J9R4P4|A0A0J9R4P4_DROSI	
N_10704._tr|A0A0J9U475|A0A0J9U475_DROSI	GO:0043531
N_10705._tr|B4Q5A3|B4Q5A3_DROSI	GO:0003677	GO:0046983
N_10706._tr|A0A0J9TX72|A0A0J9TX72_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_10707._tr|B4QIJ8|B4QIJ8_DROSI	GO:0007165	GO:0004867
N_10708._tr|B4NTM3|B4NTM3_DROSI	GO:0008745	GO:0009253
N_10709._tr|B4QZD6|B4QZD6_DROSI	GO:0003723
N_10710._tr|B4QWA5|B4QWA5_DROSI	
N_10711._tr|A0A0J9TEH0|A0A0J9TEH0_DROSI	GO:0004315	GO:0006633	GO:0009058
N_10712._tr|B4QHN6|B4QHN6_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_10713._tr|Q6V6I5|Q6V6I5_DROSI	GO:0008745	GO:0009253
N_10714._tr|A0A0J9RGN3|A0A0J9RGN3_DROSI	
N_10715._tr|A0A0J9RIU4|A0A0J9RIU4_DROSI	
N_10716._tr|Q6PVG3|Q6PVG3_DROSI	GO:0006355	GO:0005515
N_10717._tr|B4Q3Z9|B4Q3Z9_DROSI	GO:0003824
N_10718._tr|B4R5U9|B4R5U9_DROSI	GO:0016787
N_10719._tr|B4Q6U2|B4Q6U2_DROSI	GO:0006355
N_10720._tr|A0A3Q7YQ98|A0A3Q7YQ98_DROSI	GO:0005515	GO:0005515	GO:0016151	GO:0019627	GO:0065003	GO:0005515
N_10721._tr|B4QL68|B4QL68_DROSI	GO:0007411
N_10722._tr|B4NTM6|B4NTM6_DROSI	GO:0046933	GO:0015986	GO:0000275
N_10723._tr|A0A0J9RJ35|A0A0J9RJ35_DROSI	
N_10724._tr|E5KYM4|E5KYM4_DROSI	
N_10725._tr|A0A0J9R695|A0A0J9R695_DROSI	GO:0004672	GO:0005524	GO:0006468
N_10726._tr|A0A0J9TVG6|A0A0J9TVG6_DROSI	
N_10727._tr|B4QQG1|B4QQG1_DROSI	GO:0003924	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_10728._tr|A0A0J9TPZ0|A0A0J9TPZ0_DROSI	GO:0005515	GO:0005515
N_10729._tr|A0A0J9QZ79|A0A0J9QZ79_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_10730._tr|B4NUZ7|B4NUZ7_DROSI	GO:0008417	GO:0006486	GO:0016020
N_10731._tr|B4Q724|B4Q724_DROSI	GO:0016763	GO:0006400
N_10732._tr|A0A0J9QSY3|A0A0J9QSY3_DROSI	GO:0008061	GO:0005576
N_10733._tr|B4R0F6|B4R0F6_DROSI	
N_10734._tr|B4QVG0|B4QVG0_DROSI	
N_10735._tr|B4QSI5|B4QSI5_DROSI	GO:0004386	GO:0005524	GO:0005524
N_10736._tr|A0A0J9QYH2|A0A0J9QYH2_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_10737._tr|A0A0J9R3Q1|A0A0J9R3Q1_DROSI	GO:0004864	GO:0009966	GO:0043666
N_10738._tr|B4R4D1|B4R4D1_DROSI	GO:0008061	GO:0005576
N_10739._tr|D7F8I2|D7F8I2_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_10740._tr|B4QTH9|B4QTH9_DROSI	
N_10741._tr|A0A0J9UAK1|A0A0J9UAK1_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_10742._tr|A0A0J9RJA8|A0A0J9RJA8_DROSI	
N_10743._tr|B4QHL6|B4QHL6_DROSI	GO:0005515	GO:0003993	GO:0046872
N_10744._tr|B4R7D6|B4R7D6_DROSI	GO:0046983
N_10745._sp|B4QR64|EIF3L_DROSI	GO:0003743	GO:0005737	GO:0005852
N_10746._tr|A0A0J9QSV9|A0A0J9QSV9_DROSI	
N_10747._tr|D7FAW9|D7FAW9_DROSI	GO:0050909	GO:0016021
N_10748._tr|B4QIZ3|B4QIZ3_DROSI	
N_10749._tr|A0A0J9R7I3|A0A0J9R7I3_DROSI	GO:0016787
N_10750._tr|B4R4T0|B4R4T0_DROSI	GO:0003684	GO:0000012	GO:0005634
N_10751._tr|B4R605|B4R605_DROSI	
N_10752._tr|B4R764|B4R764_DROSI	
N_10753._tr|B4R5Y7|B4R5Y7_DROSI	
N_10754._tr|A0A3S6A171|A0A3S6A171_DROSI	GO:0032040
N_10755._tr|B4QB70|B4QB70_DROSI	
N_10756._tr|A7RDP8|A7RDP8_DROSI	
N_10757._tr|B4QHL9|B4QHL9_DROSI	GO:0005549
N_10758._tr|A0A0J9RA59|A0A0J9RA59_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_10759._tr|B4QMV4|B4QMV4_DROSI	
N_10760._tr|B4Q861|B4Q861_DROSI	GO:0000077
N_10761._tr|B4QDR4|B4QDR4_DROSI	GO:0005515
N_10762._tr|O76194|O76194_DROSI	
N_10763._tr|B4QJG7|B4QJG7_DROSI	GO:0003723	GO:0005515
N_10764._tr|A0A0J9S147|A0A0J9S147_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_10765._tr|B4NSI8|B4NSI8_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_10766._tr|A0A0J9TJ00|A0A0J9TJ00_DROSI	GO:0003774	GO:0005524	GO:0016459	GO:0005515
N_10767._tr|B4NST9|B4NST9_DROSI	GO:0016459
N_10768._tr|B4QU58|B4QU58_DROSI	
N_10769._tr|B4R2C3|B4R2C3_DROSI	
N_10770._tr|A0A0J9RRM8|A0A0J9RRM8_DROSI	GO:0004252	GO:0006508
N_10771._tr|A0A0J9RZG2|A0A0J9RZG2_DROSI	GO:0003712	GO:0006357	GO:0016592
N_10772._tr|A0A0J9R1M1|A0A0J9R1M1_DROSI	GO:0005085	GO:0032012
N_10773._tr|B4QZF7|B4QZF7_DROSI	GO:0004252	GO:0006508
N_10774._tr|A0A0J9R5A4|A0A0J9R5A4_DROSI	GO:0004810	GO:0003922	GO:0005524	GO:0006164	GO:0006177	GO:0016787
N_10775._tr|B4QDB5|B4QDB5_DROSI	GO:0016491
N_10776._tr|A0A0J9RR17|A0A0J9RR17_DROSI	GO:0005085
N_10777._tr|A0A0J9R325|A0A0J9R325_DROSI	
N_10778._tr|A0A0J9RGM7|A0A0J9RGM7_DROSI	GO:0016491	GO:0016491
N_10779._tr|B4Q8U0|B4Q8U0_DROSI	GO:0006260	GO:0004748	GO:0005524	GO:0006260
N_10780._tr|B4QN56|B4QN56_DROSI	GO:0003723	GO:0003743	GO:0006413
N_10781._tr|A0A0J9RT10|A0A0J9RT10_DROSI	
N_10782._tr|A0A3Q7YLH0|A0A3Q7YLH0_DROSI	GO:0008270	GO:0005634
N_10783._tr|B4NVN4|B4NVN4_DROSI	GO:0005515
N_10784._tr|B4QH89|B4QH89_DROSI	
N_10785._tr|B4QSC2|B4QSC2_DROSI	
N_10786._tr|B4NUE9|B4NUE9_DROSI	
N_10787._tr|B4Q7I1|B4Q7I1_DROSI	GO:0008146	GO:0016021
N_10788._tr|A0A0J9RBU0|A0A0J9RBU0_DROSI	GO:0005085	GO:0032012
N_10789._tr|B4QEB1|B4QEB1_DROSI	GO:0005515	GO:0008270
N_10790._tr|B4QMT5|B4QMT5_DROSI	GO:0004812	GO:0005524	GO:0043039
N_10791._tr|A0A0J9RJ65|A0A0J9RJ65_DROSI	GO:0005515
N_10792._tr|B4QER4|B4QER4_DROSI	
N_10793._tr|B4QN53|B4QN53_DROSI	
N_10794._tr|B4QWW9|B4QWW9_DROSI	GO:0005262	GO:0070588	GO:0016020	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_10795._tr|A0A0J9RRC2|A0A0J9RRC2_DROSI	
N_10796._tr|A0A0J9TCF7|A0A0J9TCF7_DROSI	GO:0016021
N_10797._tr|A0A0J9RFG7|A0A0J9RFG7_DROSI	GO:0005216	GO:0006811	GO:0055085	GO:0016020	GO:0005515
N_10798._tr|A0A0J9RMP3|A0A0J9RMP3_DROSI	GO:0007283	GO:0035092
N_10799._tr|B4QQC3|B4QQC3_DROSI	GO:0015075	GO:0006811	GO:0055085	GO:0016020
N_10800._tr|A0A0J9TCG8|A0A0J9TCG8_DROSI	GO:0004435	GO:0006629	GO:0007165	GO:0035556
N_10801._tr|A0A0J9RCP4|A0A0J9RCP4_DROSI	GO:0022857	GO:0055085
N_10802._tr|A0A0J9R6W8|A0A0J9R6W8_DROSI	
N_10803._tr|B4Q4T4|B4Q4T4_DROSI	
N_10804._tr|B4QCL1|B4QCL1_DROSI	GO:0004252	GO:0006508
N_10805._tr|B4Q7D6|B4Q7D6_DROSI	
N_10806._tr|B4QMR4|B4QMR4_DROSI	GO:0008745	GO:0009253
N_10807._tr|A0A0J9ULM8|A0A0J9ULM8_DROSI	GO:0007165
N_10808._tr|Q27IR8|Q27IR8_DROSI	
N_10809._tr|B4QYE7|B4QYE7_DROSI	GO:0004252	GO:0006508
N_10810._tr|E5KZ35|E5KZ35_DROSI	GO:0003700	GO:0006355	GO:0003700	GO:0006355
N_10811._tr|B4QXW5|B4QXW5_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_10812._tr|A0A0J9US30|A0A0J9US30_DROSI	GO:0005515
N_10813._tr|B4QJ96|B4QJ96_DROSI	GO:0003700	GO:0043565	GO:0006355
N_10814._tr|B4QKG3|B4QKG3_DROSI	GO:0005515	GO:0005515
N_10815._tr|B4Q802|B4Q802_DROSI	GO:0003723
N_10816._tr|B4QQH7|B4QQH7_DROSI	
N_10817._tr|B4QKL2|B4QKL2_DROSI	
N_10818._tr|A0A0J9RPS4|A0A0J9RPS4_DROSI	GO:0005515	GO:0006886	GO:0016192	GO:0030117	GO:0005515	GO:0031267	GO:0006886
N_10819._tr|A0A0J9U8E7|A0A0J9U8E7_DROSI	GO:0140664	GO:0005524	GO:0016887
N_10820._tr|A0A0J9QYR3|A0A0J9QYR3_DROSI	
N_10821._tr|B4QNN3|B4QNN3_DROSI	GO:0005515
N_10822._tr|B4QSA8|B4QSA8_DROSI	
N_10823._sp|Q24669|TRSF_DROSI	GO:0006397	GO:0046660
N_10824._tr|B4R5M1|B4R5M1_DROSI	
N_10825._tr|B4QE25|B4QE25_DROSI	
N_10826._tr|Q27IT4|Q27IT4_DROSI	GO:0004525	GO:0006396	GO:0004525	GO:0006396	GO:0005515
N_10827._tr|B4R0U7|B4R0U7_DROSI	GO:0046873	GO:0030001	GO:0055085	GO:0016020
N_10828._tr|B4QEA3|B4QEA3_DROSI	
N_10829._tr|B4R5B2|B4R5B2_DROSI	
N_10830._tr|A0A0J9R8V5|A0A0J9R8V5_DROSI	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525	GO:0005524	GO:0016887
N_10831._tr|B4QS71|B4QS71_DROSI	GO:0007155	GO:0042246	GO:0016021
N_10832._tr|B4NS43|B4NS43_DROSI	GO:0005515
N_10833._tr|A8B8N4|A8B8N4_DROSI	
N_10834._tr|B4QPH7|B4QPH7_DROSI	
N_10835._tr|A0A0J9RKM2|A0A0J9RKM2_DROSI	
N_10836._tr|B4R084|B4R084_DROSI	GO:0046933	GO:0015986	GO:0045261
N_10837._tr|Q7KHW7|Q7KHW7_DROSI	GO:0005524	GO:0016773	GO:0005975	GO:0005524	GO:0016773	GO:0005975
N_10838._tr|A0A0J9RZN4|A0A0J9RZN4_DROSI	GO:0003723	GO:0003723	GO:0003723
N_10839._tr|A0A0J9RMF3|A0A0J9RMF3_DROSI	GO:0003779	GO:0007010
N_10840._tr|A0A0J9UN63|A0A0J9UN63_DROSI	GO:0005515	GO:0004842
N_10841._tr|Q9GTM0|Q9GTM0_DROSI	GO:0008168
N_10842._tr|A0A0J9R5J3|A0A0J9R5J3_DROSI	
N_10843._tr|B4QZ36|B4QZ36_DROSI	
N_10844._tr|B4QBB4|B4QBB4_DROSI	GO:0003743	GO:0031369	GO:0006413	GO:0005852
N_10845._tr|A0A0J9RHT4|A0A0J9RHT4_DROSI	GO:0004555	GO:0005991
N_10846._tr|A0A0J9R5P2|A0A0J9R5P2_DROSI	
N_10847._tr|A0A0J9S102|A0A0J9S102_DROSI	GO:0003677	GO:0006355	GO:0003677
N_10848._tr|B4NTQ1|B4NTQ1_DROSI	
N_10849._tr|B4Q8Q9|B4Q8Q9_DROSI	GO:0005524	GO:0016887
N_10850._tr|B4Q8V7|B4Q8V7_DROSI	GO:0042073
N_10851._tr|B4QXB1|B4QXB1_DROSI	GO:0003697	GO:0006974	GO:0018142
N_10852._tr|B4Q4U0|B4Q4U0_DROSI	GO:0007165	GO:0007165	GO:0005515
N_10853._tr|B4QH21|B4QH21_DROSI	GO:0003779
N_10854._tr|A0A0J9RVG1|A0A0J9RVG1_DROSI	
N_10855._tr|A0A0J9RKS1|A0A0J9RKS1_DROSI	
N_10856._tr|A0A0J9R7S3|A0A0J9R7S3_DROSI	GO:0016020
N_10857._tr|A0A0J9RU56|A0A0J9RU56_DROSI	GO:0015276	GO:0016020
N_10858._tr|B4Q498|B4Q498_DROSI	GO:0005515	GO:0005515
N_10859._tr|A0A0J9R6T8|A0A0J9R6T8_DROSI	GO:0008017	GO:0005515
N_10860._tr|A0A0J9RQ69|A0A0J9RQ69_DROSI	
N_10861._tr|B4Q5A5|B4Q5A5_DROSI	GO:0004109	GO:0006779
N_10862._tr|A0A0J9TFX4|A0A0J9TFX4_DROSI	GO:0005515	GO:0070122	GO:0140492
N_10863._tr|A5XCP5|A5XCP5_DROSI	GO:0070569
N_10864._tr|A8B8E4|A8B8E4_DROSI	GO:0008080	GO:0004402	GO:0006355	GO:0016573	GO:0008080
N_10865._tr|D7F8C2|D7F8C2_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_10866._tr|A0A0J9R9V2|A0A0J9R9V2_DROSI	
N_10867._sp|P50253|COX2_DROSI	GO:0004129	GO:0005507	GO:0016020	GO:0022900	GO:0016021
N_10868._tr|A0A0J9RYE9|A0A0J9RYE9_DROSI	
N_10869._tr|A9XTZ5|A9XTZ5_DROSI	GO:0003677
N_10870._tr|B4QUJ4|B4QUJ4_DROSI	
N_10871._tr|A0A0J9RIW1|A0A0J9RIW1_DROSI	
N_10872._tr|B4QV55|B4QV55_DROSI	
N_10873._tr|Q0H6M2|Q0H6M2_DROSI	GO:0003723	GO:0006396
N_10874._tr|B4R2H2|B4R2H2_DROSI	
N_10875._tr|B4R260|B4R260_DROSI	GO:0061630	GO:0000209	GO:0008592
N_10876._tr|B4QQJ8|B4QQJ8_DROSI	GO:0004553	GO:0005975
N_10877._tr|A0A0J9RW90|A0A0J9RW90_DROSI	GO:0005247	GO:0006821	GO:0055085	GO:0016020
N_10878._tr|B4QIU9|B4QIU9_DROSI	
N_10879._tr|A0A0J9UI99|A0A0J9UI99_DROSI	GO:0000287	GO:0004749	GO:0009165
N_10880._tr|B4Q409|B4Q409_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_10881._tr|B4QUK0|B4QUK0_DROSI	GO:0008194	GO:0016758
N_10882._tr|A0A0J9RPP8|A0A0J9RPP8_DROSI	GO:0005524	GO:0003723	GO:0003724	GO:0005524	GO:0016887	GO:0005524	GO:0016301	GO:0005524	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887	GO:0005524
N_10883._tr|A0A0J9R1R3|A0A0J9R1R3_DROSI	GO:0004252	GO:0006508
N_10884._tr|A0A0J9RQ26|A0A0J9RQ26_DROSI	
N_10885._tr|B4R3J1|B4R3J1_DROSI	
N_10886._tr|B4QPC3|B4QPC3_DROSI	
N_10887._tr|B4NTZ7|B4NTZ7_DROSI	GO:0005524	GO:0016887	GO:0004176	GO:0004222	GO:0005524	GO:0008270	GO:0016021	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
N_10888._tr|B4Q3Y7|B4Q3Y7_DROSI	GO:0005515	GO:0005515	GO:0005515
N_10889._tr|A1YK47|A1YK47_DROSI	GO:0017056	GO:0006913	GO:0005643
N_10890._tr|A0A3Q7YNK3|A0A3Q7YNK3_DROSI	
N_10891._tr|B4QGP9|B4QGP9_DROSI	GO:0004252	GO:0006508
N_10892._tr|A0A0J9RQV8|A0A0J9RQV8_DROSI	GO:0004984	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_10893._tr|A0A0J9TGA7|A0A0J9TGA7_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_10894._tr|A0A0J9RUB9|A0A0J9RUB9_DROSI	GO:0005549
N_10895._tr|A0A0J9QXP5|A0A0J9QXP5_DROSI	
N_10896._tr|A0A0J9R6Q7|A0A0J9R6Q7_DROSI	GO:0007009
N_10897._tr|A0A0J9RAF2|A0A0J9RAF2_DROSI	GO:0003872	GO:0006096
N_10898._tr|A0A0J9RHW9|A0A0J9RHW9_DROSI	GO:0016757	GO:0006486	GO:0016757
N_10899._tr|B4R5V8|B4R5V8_DROSI	GO:0005515
N_10900._tr|B4QGR0|B4QGR0_DROSI	
N_10901._tr|A0A0J9QW28|A0A0J9QW28_DROSI	
N_10902._tr|B4QHN2|B4QHN2_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_10903._tr|A0A0J9ULB9|A0A0J9ULB9_DROSI	
N_10904._tr|A0A0J9RS64|A0A0J9RS64_DROSI	GO:0016021
N_10905._tr|B4QZI1|B4QZI1_DROSI	
N_10906._tr|A0A0J9QVH7|A0A0J9QVH7_DROSI	GO:0005515	GO:0005515	GO:0003993	GO:0046872
N_10907._tr|A0A0J9RUB3|A0A0J9RUB3_DROSI	
N_10908._tr|B4R078|B4R078_DROSI	
N_10909._tr|B4QG76|B4QG76_DROSI	GO:0008745	GO:0009253
N_10910._tr|B4Q428|B4Q428_DROSI	
N_10911._tr|A7DYX5|A7DYX5_DROSI	GO:0004252	GO:0006508
N_10912._tr|A0A0J9QYE2|A0A0J9QYE2_DROSI	GO:0006820	GO:0016021	GO:0008509	GO:0006820	GO:0016021
N_10913._tr|B4QBC9|B4QBC9_DROSI	GO:0035091
N_10914._tr|A0A0J9S1N1|A0A0J9S1N1_DROSI	GO:0005230	GO:0006811	GO:0016021
N_10915._tr|B4QJY2|B4QJY2_DROSI	
N_10916._tr|B4R7S8|B4R7S8_DROSI	GO:0003723
N_10917._tr|B4QUE4|B4QUE4_DROSI	GO:0005484	GO:0006890
N_10918._tr|B4R271|B4R271_DROSI	GO:0004656	GO:0005783
N_10919._tr|A0A0J9R3F3|A0A0J9R3F3_DROSI	GO:0003774	GO:0005524	GO:0016459	GO:0003774	GO:0005524	GO:0016459	GO:0016459
N_10920._tr|B4QZT1|B4QZT1_DROSI	GO:0005515
N_10921._tr|B4QCT5|B4QCT5_DROSI	GO:0016787
N_10922._tr|A0A0J9RSN9|A0A0J9RSN9_DROSI	GO:0004864	GO:0009966	GO:0043666
N_10923._tr|B4QGW7|B4QGW7_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_10924._tr|B4QYI2|B4QYI2_DROSI	
N_10925._tr|K7X4Y2|K7X4Y2_DROSI	GO:0005515	GO:0003676
N_10926._tr|D7FAE4|D7FAE4_DROSI	GO:0050909	GO:0016021
N_10927._tr|A0A0J9QZR5|A0A0J9QZR5_DROSI	GO:0005515
N_10928._tr|A0A0J9S2U8|A0A0J9S2U8_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004683	GO:0005516	GO:0006468	GO:0004672	GO:0006468
N_10929._tr|B4QCV2|B4QCV2_DROSI	
N_10930._tr|A0A0J9QVK6|A0A0J9QVK6_DROSI	GO:0009058
N_10931._tr|B4QPK8|B4QPK8_DROSI	GO:0005272	GO:0006814	GO:0016020
N_10932._tr|A0A0J9R8U8|A0A0J9R8U8_DROSI	GO:0022857	GO:0055085
