N_1._tr|B4JFW9|B4JFW9_DROGR	GO:0005509
N_5110._sp|B4JXG8|RSSA_DROGR	GO:0003735	GO:0006412	GO:0005840
N_5111._tr|B4JX76|B4JX76_DROGR	GO:0016747	GO:0016747
N_5112._tr|B4JBT7|B4JBT7_DROGR	
N_5113._tr|B4JV03|B4JV03_DROGR	GO:0003723	GO:0000398	GO:0005681
N_5114._tr|B4J5T9|B4J5T9_DROGR	GO:0008661	GO:0016114	GO:0016624
N_5115._tr|B4J5N5|B4J5N5_DROGR	
N_5116._tr|B4JYY2|B4JYY2_DROGR	
N_5117._tr|B4JCI1|B4JCI1_DROGR	
N_5118._tr|B4JLX1|B4JLX1_DROGR	GO:0030674	GO:0051015
N_5119._tr|B4JI45|B4JI45_DROGR	GO:0005515
N_5120._tr|B4JT09|B4JT09_DROGR	GO:0016627	GO:0016627	GO:0016627	GO:0050660
N_5121._tr|B4JWR2|B4JWR2_DROGR	
N_5122._tr|B4IYE7|B4IYE7_DROGR	GO:0016192	GO:0016192	GO:0016192
N_5123._tr|B4JX51|B4JX51_DROGR	
N_5124._tr|B4JS16|B4JS16_DROGR	GO:0006807
N_5125._tr|B4JQW9|B4JQW9_DROGR	GO:0016298
N_5126._tr|B4JXF7|B4JXF7_DROGR	GO:0008146
N_5127._tr|B4JPL1|B4JPL1_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_5128._tr|B4JDX3|B4JDX3_DROGR	GO:0005524	GO:0008134	GO:0006355	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310	GO:0005524	GO:0016887
N_5129._tr|B4JZ89|B4JZ89_DROGR	GO:0005509
N_5130._tr|B4JBL7|B4JBL7_DROGR	GO:0008168
N_5131._tr|B4JPZ4|B4JPZ4_DROGR	GO:0046923	GO:0006621	GO:0016021
N_5132._tr|B4K3A8|B4K3A8_DROGR	
N_5133._tr|B4J8W5|B4J8W5_DROGR	
N_5134._tr|B4JIH1|B4JIH1_DROGR	GO:0003684	GO:0006289	GO:0043161	GO:0005515
N_5135._tr|B4JWP3|B4JWP3_DROGR	
N_5136._tr|B4JAF9|B4JAF9_DROGR	
N_5137._tr|B4JWA4|B4JWA4_DROGR	GO:0005515	GO:0005515
N_5138._tr|B4JD32|B4JD32_DROGR	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_5139._tr|B4JBP8|B4JBP8_DROGR	
N_5140._tr|B4JPL8|B4JPL8_DROGR	
N_5141._tr|B4JYP1|B4JYP1_DROGR	GO:0015078	GO:1902600	GO:0033177
N_5142._tr|B4J1W5|B4J1W5_DROGR	
N_5143._tr|B4JYZ6|B4JYZ6_DROGR	GO:0005515	GO:0005515
N_5144._tr|B4JR80|B4JR80_DROGR	GO:0016021
N_5145._tr|B4J2C6|B4J2C6_DROGR	GO:0004930	GO:0004930	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_5146._tr|B4JBQ9|B4JBQ9_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5147._tr|B4J465|B4J465_DROGR	GO:0003747	GO:0006415
N_5148._tr|B4JL32|B4JL32_DROGR	GO:0003676	GO:0005524
N_5149._tr|B4JM28|B4JM28_DROGR	
N_5150._tr|B4J5M7|B4J5M7_DROGR	GO:0051082	GO:0006457	GO:0016272
N_5151._tr|B4JD44|B4JD44_DROGR	GO:0003723
N_5152._tr|B4J9T5|B4J9T5_DROGR	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5153._tr|B4JK88|B4JK88_DROGR	GO:0031267	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5154._tr|B4IZI6|B4IZI6_DROGR	
N_5155._tr|B4JFE0|B4JFE0_DROGR	GO:0016192
N_5156._tr|B4JLX3|B4JLX3_DROGR	
N_5157._tr|B4JRY6|B4JRY6_DROGR	GO:0030695	GO:0005515	GO:0005515	GO:0042802	GO:0033130	GO:0043495	GO:0007268	GO:0005515
N_5158._tr|B4JZ81|B4JZ81_DROGR	
N_5159._tr|B4IWU0|B4IWU0_DROGR	
N_5160._tr|B4JPY4|B4JPY4_DROGR	
N_5161._tr|B4J7V6|B4J7V6_DROGR	GO:0003723	GO:0003723
N_5162._tr|B4JXB9|B4JXB9_DROGR	
N_5163._tr|B4J6S2|B4J6S2_DROGR	
N_5164._tr|B4J4Q4|B4J4Q4_DROGR	GO:0003735	GO:0006412	GO:0005840
N_5165._tr|B4IZD5|B4IZD5_DROGR	
N_5166._tr|B4J5M4|B4J5M4_DROGR	GO:0035091
N_5167._tr|B4JZI1|B4JZI1_DROGR	GO:0005272	GO:0006814	GO:0016020
N_5168._tr|B4JU32|B4JU32_DROGR	GO:0005515
N_5169._tr|B4JFA9|B4JFA9_DROGR	GO:0005549
N_5170._tr|B4J1P2|B4J1P2_DROGR	
N_5171._tr|B4J3U4|B4J3U4_DROGR	GO:0016758	GO:0006486	GO:0016020	GO:0016757	GO:0016020
N_5172._tr|B4J0Z3|B4J0Z3_DROGR	
N_5173._tr|B4IZD8|B4IZD8_DROGR	GO:0003854	GO:0016616	GO:0006694
N_5174._tr|B4J7P2|B4J7P2_DROGR	GO:0008194	GO:0016758
N_5175._tr|B4JYY0|B4JYY0_DROGR	GO:0046872	GO:0006801
N_5176._tr|B4J8T5|B4J8T5_DROGR	
N_5177._tr|B4JA10|B4JA10_DROGR	GO:0009922	GO:0016021
N_5178._tr|B4JS89|B4JS89_DROGR	
N_5179._tr|B4JDE4|B4JDE4_DROGR	
N_5180._tr|B4JBQ6|B4JBQ6_DROGR	GO:0010181	GO:0016491	GO:0016491
N_5181._tr|B4J6D9|B4J6D9_DROGR	GO:0005515
N_5182._tr|B4JNU8|B4JNU8_DROGR	GO:0009190	GO:0035556
N_5183._tr|B4IY81|B4IY81_DROGR	
N_5184._tr|B4JE29|B4JE29_DROGR	GO:0005085	GO:0032012
N_5185._tr|B4JN53|B4JN53_DROGR	
N_5186._tr|B4JW89|B4JW89_DROGR	GO:0032007	GO:0048011
N_5187._tr|B4JFK4|B4JFK4_DROGR	GO:0008061	GO:0005576
N_5188._tr|B4K2I4|B4K2I4_DROGR	
N_5189._tr|B4J3Z8|B4J3Z8_DROGR	
N_5190._tr|B4JXJ6|B4JXJ6_DROGR	
N_5191._tr|B4JS11|B4JS11_DROGR	GO:0004252	GO:0006508
N_5192._tr|B4J9G4|B4J9G4_DROGR	
N_5193._tr|B4JBM3|B4JBM3_DROGR	GO:0004970	GO:0016020	GO:0015276	GO:0016020
N_5194._tr|B4J8N8|B4J8N8_DROGR	GO:0005272	GO:0006814	GO:0016020
N_5195._tr|B4J360|B4J360_DROGR	
N_5196._tr|B4JUQ1|B4JUQ1_DROGR	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525	GO:0005524	GO:0016887
N_5197._tr|B4J9V6|B4J9V6_DROGR	
N_5198._tr|B4JRP4|B4JRP4_DROGR	GO:0006383	GO:0005666
N_5199._tr|B4JCJ5|B4JCJ5_DROGR	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525
N_5200._tr|B4J3R5|B4J3R5_DROGR	
N_5201._tr|B4IZ90|B4IZ90_DROGR	
N_5202._tr|B4JMU1|B4JMU1_DROGR	GO:0004114	GO:0007165
N_5203._tr|B4J4Z8|B4J4Z8_DROGR	
N_5204._tr|B4JVH5|B4JVH5_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_5205._tr|B4JDD4|B4JDD4_DROGR	GO:0035091	GO:0043130	GO:0046872
N_5206._tr|B4JW26|B4JW26_DROGR	GO:0016021
N_5207._tr|B4J5P0|B4J5P0_DROGR	
N_5208._tr|B4JQG9|B4JQG9_DROGR	
N_5209._tr|B4J384|B4J384_DROGR	GO:0008236	GO:0006508
N_5210._tr|B4IZR1|B4IZR1_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_5211._tr|B4JAI1|B4JAI1_DROGR	
N_5212._tr|B4JCV7|B4JCV7_DROGR	
N_5213._tr|B4JI76|B4JI76_DROGR	
N_5214._tr|B4IY86|B4IY86_DROGR	
N_5215._tr|B4JV59|B4JV59_DROGR	
N_5216._tr|B4JDU3|B4JDU3_DROGR	GO:0030246
N_5217._tr|B4JCR7|B4JCR7_DROGR	GO:0046983
N_5218._tr|B4IZ13|B4IZ13_DROGR	
N_5219._tr|B4K007|B4K007_DROGR	
N_5220._tr|B4JN01|B4JN01_DROGR	GO:0005739	GO:0045277
N_5221._tr|B4J332|B4J332_DROGR	
N_5222._tr|B4K079|B4K079_DROGR	GO:0008270	GO:0046872
N_5223._tr|B4JKW3|B4JKW3_DROGR	
N_5224._tr|B4JL73|B4JL73_DROGR	GO:0032418
N_5225._tr|B4K0R9|B4K0R9_DROGR	GO:0003824
N_5226._tr|B4K1F2|B4K1F2_DROGR	GO:0022857	GO:0055085
N_5227._tr|B4JSP0|B4JSP0_DROGR	
N_5228._tr|B4K0R0|B4K0R0_DROGR	GO:0005524	GO:0016887	GO:0005524	GO:0005524	GO:0016887
N_5229._tr|B4JD14|B4JD14_DROGR	GO:0005515	GO:0005515
N_5230._tr|B4JGZ7|B4JGZ7_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_5231._tr|B4IYR6|B4IYR6_DROGR	
N_5232._tr|B4JTL1|B4JTL1_DROGR	GO:0003723
N_5233._tr|B4JJ08|B4JJ08_DROGR	GO:0016747
N_5234._tr|B4JGV1|B4JGV1_DROGR	
N_5235._tr|B4JP33|B4JP33_DROGR	GO:0005515
N_5236._tr|B4J8G7|B4J8G7_DROGR	GO:0006122	GO:0005750
N_5237._tr|B4J177|B4J177_DROGR	GO:0016021
N_5238._tr|B4IX99|B4IX99_DROGR	
N_5239._tr|B4JMM6|B4JMM6_DROGR	
N_5240._tr|B4JQ08|B4JQ08_DROGR	
N_5241._tr|B4JBS8|B4JBS8_DROGR	GO:0008061	GO:0005576
N_5242._tr|B4J327|B4J327_DROGR	GO:0003677	GO:0006355	GO:0003677
N_5243._tr|B4JBQ8|B4JBQ8_DROGR	GO:0007165	GO:0005515	GO:0004222	GO:0006508	GO:0005085	GO:0007264
N_5244._tr|B4JYJ1|B4JYJ1_DROGR	GO:0005515
N_5245._tr|B4J7G8|B4J7G8_DROGR	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_5246._tr|B4JHT0|B4JHT0_DROGR	
N_5247._tr|B4IWR0|B4IWR0_DROGR	
N_5248._tr|B4JC68|B4JC68_DROGR	
N_5249._tr|B4JI27|B4JI27_DROGR	
N_5250._tr|B4JBV8|B4JBV8_DROGR	GO:0016012
N_5251._tr|B4J421|B4J421_DROGR	
N_5252._tr|B4JDY9|B4JDY9_DROGR	
N_5253._tr|B4J350|B4J350_DROGR	GO:0008137
N_5254._tr|B4JYL1|B4JYL1_DROGR	GO:0046872
N_5255._tr|B4JYE6|B4JYE6_DROGR	
N_5256._tr|B4JIA6|B4JIA6_DROGR	GO:0005509	GO:0005509
N_5257._tr|B4JQJ1|B4JQJ1_DROGR	GO:0008081	GO:0006629	GO:2001070
N_5258._tr|B4JKQ9|B4JKQ9_DROGR	GO:0016021
N_5259._tr|B4JF79|B4JF79_DROGR	GO:0016787
N_5260._tr|B4K0C1|B4K0C1_DROGR	
N_5261._tr|B4J2Z3|B4J2Z3_DROGR	GO:0009190	GO:0035556
N_5262._tr|B4JHX5|B4JHX5_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_5263._tr|B4JA52|B4JA52_DROGR	GO:0005515	GO:0006355	GO:0005634	GO:0005515
N_5264._tr|B4JH76|B4JH76_DROGR	GO:0016747
N_5265._tr|B4JSQ2|B4JSQ2_DROGR	GO:0007165	GO:0005515	GO:0005515	GO:0005515
N_5266._tr|B4IWQ0|B4IWQ0_DROGR	GO:0006351	GO:0006352	GO:0005669
N_5267._tr|B4JP38|B4JP38_DROGR	GO:0016779
N_5268._tr|B4IZS2|B4IZS2_DROGR	GO:0003714	GO:0006351
N_5269._tr|B4JVG0|B4JVG0_DROGR	GO:0005815
N_5270._tr|B4J749|B4J749_DROGR	GO:0008270	GO:0005634
N_5271._tr|O01642|O01642_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0015098	GO:0015689	GO:0016021	GO:0022857	GO:0055085
N_5272._tr|B4JLD3|B4JLD3_DROGR	GO:0003677	GO:0006355	GO:0003677	GO:0003677
N_5273._tr|B4K3C5|B4K3C5_DROGR	GO:0005524
N_5274._tr|B4JLA5|B4JLA5_DROGR	GO:0018279	GO:0005789
N_5275._tr|B4J8A5|B4J8A5_DROGR	GO:0002218	GO:0032481
N_5276._tr|B4J0S0|B4J0S0_DROGR	GO:0003723
N_5277._tr|B4JLS5|B4JLS5_DROGR	
N_5278._tr|B4JEJ1|B4JEJ1_DROGR	GO:0003677	GO:0003899	GO:0006351
N_5279._tr|B4JL10|B4JL10_DROGR	GO:0005739
N_5280._tr|B4JZP8|B4JZP8_DROGR	GO:0005515	GO:0003723	GO:0005515
N_5281._tr|B4J6K6|B4J6K6_DROGR	
N_5282._tr|B4JV11|B4JV11_DROGR	
N_5283._tr|B4K3A0|B4K3A0_DROGR	GO:0008234	GO:0006508
N_5284._tr|B4JKW7|B4JKW7_DROGR	GO:0004386	GO:0003677	GO:0005524	GO:0016787	GO:0003723	GO:0003724	GO:0005524	GO:0008270	GO:0000184	GO:0005737
N_5285._tr|B4J6C3|B4J6C3_DROGR	GO:0005515
N_5286._tr|B4JY34|B4JY34_DROGR	
N_5287._tr|B4JTD2|B4JTD2_DROGR	GO:0004984	GO:0007186	GO:0016021	GO:0004930	GO:0007186	GO:0016021
N_5288._tr|B4JWK2|B4JWK2_DROGR	GO:0005515
N_5289._tr|B4JLP3|B4JLP3_DROGR	
N_5290._tr|B4JAX3|B4JAX3_DROGR	GO:0005856	GO:0003774	GO:0005524	GO:0016459	GO:0005515	GO:0005515
N_5291._tr|B4IWN9|B4IWN9_DROGR	
N_5292._tr|B4JQW3|B4JQW3_DROGR	GO:0008146	GO:0016021
N_5293._tr|B4JX15|B4JX15_DROGR	
N_5294._tr|B4JZ23|B4JZ23_DROGR	
N_5295._sp|B4JUE4|PURA_DROGR	GO:0004019	GO:0005525	GO:0006164
N_5296._tr|B4IZX1|B4IZX1_DROGR	GO:0016021
N_5297._tr|B4J0W6|B4J0W6_DROGR	
N_5298._tr|B4JL69|B4JL69_DROGR	GO:0003712	GO:0006357	GO:0016592
N_5299._tr|B4JN84|B4JN84_DROGR	
N_5300._tr|B4JEF9|B4JEF9_DROGR	GO:0005515	GO:0005515
N_5301._tr|B4JL41|B4JL41_DROGR	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_5302._tr|B4J6U6|B4J6U6_DROGR	GO:0003924	GO:0005525	GO:0005525
N_5303._tr|B4K255|B4K255_DROGR	GO:0005515	GO:0000398	GO:0005515	GO:0006396	GO:0005634	GO:0005515	GO:0005515
N_5304._tr|B4K2N1|B4K2N1_DROGR	
N_5305._tr|B4IYT2|B4IYT2_DROGR	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_5306._tr|B4JC24|B4JC24_DROGR	GO:0004565	GO:0005975	GO:0009341
N_5307._tr|B4JJE2|B4JJE2_DROGR	GO:0016021
N_5308._tr|B4JRJ4|B4JRJ4_DROGR	GO:0006886	GO:0005737
N_5309._tr|B4JC61|B4JC61_DROGR	
N_5310._tr|B4JFA8|B4JFA8_DROGR	GO:0016614	GO:0050660	GO:0016491	GO:0016491	GO:0016614
N_5311._tr|B4J746|B4J746_DROGR	GO:0030414	GO:0008234	GO:0006508
N_5312._tr|B4JC08|B4JC08_DROGR	GO:0003779	GO:0016043	GO:0003779	GO:0031267	GO:0030036
N_5313._tr|B4IY76|B4IY76_DROGR	GO:0008061	GO:0005576
N_5314._tr|B4JDW1|B4JDW1_DROGR	
N_5315._tr|B4J988|B4J988_DROGR	
N_5316._tr|B4JTG0|B4JTG0_DROGR	GO:0005509	GO:0005509	GO:0005515
N_5317._tr|B4JNQ5|B4JNQ5_DROGR	GO:0000049	GO:0004812	GO:0005524	GO:0043039	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_5318._tr|B4JX06|B4JX06_DROGR	GO:0005515	GO:0005515	GO:0003993	GO:0046872
N_5319._tr|B4JKU8|B4JKU8_DROGR	GO:0006270
N_5320._tr|B4JWQ8|B4JWQ8_DROGR	
N_5321._tr|B4IYC8|B4IYC8_DROGR	GO:0004252	GO:0006508
N_5322._tr|B4JBW3|B4JBW3_DROGR	GO:0003924	GO:0005525	GO:0005524	GO:0140664	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0005525	GO:0005524	GO:0016887
N_5323._tr|B4JPL0|B4JPL0_DROGR	GO:0005515	GO:0005515	GO:0005515
N_5324._tr|B4J2X7|B4J2X7_DROGR	GO:0004812	GO:0005524	GO:0006418	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_5325._tr|B4JTN9|B4JTN9_DROGR	GO:0046983
N_5326._tr|B4JVG5|B4JVG5_DROGR	
N_5327._tr|B4J1P3|B4J1P3_DROGR	GO:0051082	GO:0006457	GO:0016272
N_5328._tr|B4JW15|B4JW15_DROGR	GO:0000049	GO:0004812	GO:0005524	GO:0043039
N_5329._tr|B4J1D2|B4J1D2_DROGR	
N_5330._tr|B4JWG1|B4JWG1_DROGR	GO:0004057	GO:0016598	GO:0004057	GO:0016598
N_5331._sp|B4J4Y2|KTU_DROGR	
N_5332._tr|B4IZY4|B4IZY4_DROGR	GO:0071203
N_5333._tr|B4JA23|B4JA23_DROGR	GO:0022857	GO:0055085
N_5334._tr|B4JFW1|B4JFW1_DROGR	GO:0006367	GO:0005672
N_5335._tr|B4J728|B4J728_DROGR	GO:0016787
N_5336._tr|B4K022|B4K022_DROGR	
N_5337._tr|B4JLF1|B4JLF1_DROGR	
N_5338._tr|B4J106|B4J106_DROGR	GO:0005515
N_5339._tr|B4J598|B4J598_DROGR	GO:0004252	GO:0006508
N_5340._tr|B4J7R0|B4J7R0_DROGR	
N_5341._tr|B4JTV0|B4JTV0_DROGR	GO:0005515	GO:0003993	GO:0046872
N_5342._tr|B4JV08|B4JV08_DROGR	GO:0016757
N_5343._tr|B4JKT8|B4JKT8_DROGR	
N_5344._tr|B4K3G5|B4K3G5_DROGR	
N_5345._tr|B4JXF6|B4JXF6_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_5346._tr|B4J726|B4J726_DROGR	
N_5347._tr|B4K206|B4K206_DROGR	GO:0016868	GO:0005975	GO:0005975	GO:0016868	GO:0005975
N_5348._tr|B4JTL9|B4JTL9_DROGR	GO:0000469
N_5349._tr|B4JK65|B4JK65_DROGR	GO:0000045	GO:0005737
N_5350._tr|B4JVU0|B4JVU0_DROGR	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_5351._tr|B4J188|B4J188_DROGR	
N_5352._tr|B4JFH5|B4JFH5_DROGR	GO:0003755
N_5353._tr|B4J3N6|B4J3N6_DROGR	GO:0005739	GO:0045277
N_5354._tr|B4J294|B4J294_DROGR	GO:0003723
N_5355._tr|B4JC33|B4JC33_DROGR	
N_5356._tr|B4JNK1|B4JNK1_DROGR	
N_5357._tr|B4IYD7|B4IYD7_DROGR	GO:0003735	GO:0006412	GO:0015934
N_5358._tr|B4JH17|B4JH17_DROGR	
N_5359._tr|B4IX50|B4IX50_DROGR	GO:0004252	GO:0006508
N_5360._tr|B4JUD3|B4JUD3_DROGR	GO:0004252	GO:0006508
N_5361._tr|B4JNL6|B4JNL6_DROGR	GO:0016747
N_5362._tr|B4JWE8|B4JWE8_DROGR	
N_5363._tr|B4JV22|B4JV22_DROGR	GO:0051603	GO:0005839
N_5364._tr|B4JBD2|B4JBD2_DROGR	GO:0004411	GO:0006559	GO:0006570
N_5365._tr|B4JXT5|B4JXT5_DROGR	GO:0003677	GO:0006355	GO:0007165	GO:0006355	GO:0007165
N_5366._tr|B4JE51|B4JE51_DROGR	GO:0042325	GO:0005737
N_5367._tr|B4K031|B4K031_DROGR	GO:0000166	GO:0004812	GO:0005524	GO:0006418	GO:0004812	GO:0006418	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_5368._tr|B4JIZ7|B4JIZ7_DROGR	GO:0006334	GO:0005634
N_5369._tr|B4J454|B4J454_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_5370._tr|B4IWP9|B4IWP9_DROGR	GO:0007155	GO:0016021
N_5371._tr|B4JMU4|B4JMU4_DROGR	GO:0016758	GO:0006486	GO:0016020
N_5372._tr|B4JFW8|B4JFW8_DROGR	GO:0004222	GO:0006508
N_5373._tr|B4J094|B4J094_DROGR	GO:0022857	GO:0055085
N_5374._tr|B4J006|B4J006_DROGR	
N_5375._tr|B4JEQ5|B4JEQ5_DROGR	
N_5376._tr|B4J0M3|B4J0M3_DROGR	
N_5377._tr|B4JWV9|B4JWV9_DROGR	GO:0005743	GO:0061617
N_5378._tr|B4JNV2|B4JNV2_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0016021	GO:0004672	GO:0006468
N_5379._tr|B4JXV7|B4JXV7_DROGR	
N_5380._tr|B4JYI9|B4JYI9_DROGR	GO:0009055	GO:0020037
N_5381._tr|B4JG80|B4JG80_DROGR	GO:0004017
N_5382._tr|B4JCB8|B4JCB8_DROGR	GO:0030431	GO:0032222	GO:1903818
N_5383._tr|B4J090|B4J090_DROGR	GO:0016409
N_5384._tr|B4JP11|B4JP11_DROGR	GO:0005506	GO:0016491	GO:0008610
N_5385._tr|B4JUG7|B4JUG7_DROGR	
N_5386._tr|B4JXY8|B4JXY8_DROGR	
N_5387._tr|B4JGT3|B4JGT3_DROGR	
N_5388._tr|B4JG82|B4JG82_DROGR	
N_5389._tr|B4JG90|B4JG90_DROGR	GO:0042393	GO:0006974	GO:0010835
N_5390._tr|B4J5K6|B4J5K6_DROGR	GO:0030246
N_5391._tr|B4J5X5|B4J5X5_DROGR	GO:0004930	GO:0007186	GO:0004930	GO:0007186	GO:0016021
N_5392._tr|B4JJV4|B4JJV4_DROGR	GO:0007186	GO:0035556
N_5393._tr|B4JM39|B4JM39_DROGR	GO:0004616	GO:0006098	GO:0050661	GO:0051287
N_5394._tr|B4JZW7|B4JZW7_DROGR	
N_5395._tr|B4IZL3|B4IZL3_DROGR	GO:0005094	GO:0005737
N_5396._tr|B4J782|B4J782_DROGR	
N_5397._tr|B4JVJ9|B4JVJ9_DROGR	GO:0003677	GO:0006355	GO:0003677	GO:0006355	GO:0003677
N_5398._tr|B4JG73|B4JG73_DROGR	
N_5399._sp|B4JII0|SPAST_DROGR	GO:0005524	GO:0016887	GO:0009378	GO:0006281	GO:0006310
N_5400._tr|B4JDC2|B4JDC2_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_5401._tr|B4JSM5|B4JSM5_DROGR	GO:0007218	GO:0030141
N_5402._tr|B4JCX6|B4JCX6_DROGR	GO:0005524	GO:0016887	GO:0006260	GO:0000808	GO:0005634
N_5403._tr|B4J966|B4J966_DROGR	
N_5404._tr|B4JXD8|B4JXD8_DROGR	GO:0005515
N_5405._tr|B4K2M3|B4K2M3_DROGR	
N_5406._tr|B4JWP9|B4JWP9_DROGR	
N_5407._tr|B4JIQ4|B4JIQ4_DROGR	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_5408._tr|B4J6S1|B4J6S1_DROGR	
N_5409._tr|B4J160|B4J160_DROGR	GO:0003700	GO:0045893
N_5410._tr|B4K2V1|B4K2V1_DROGR	
N_5411._tr|B4JVM2|B4JVM2_DROGR	GO:0005524	GO:0140658	GO:0003677	GO:0006338	GO:0005634	GO:0003677	GO:0031491	GO:0006338	GO:0016575	GO:0070823	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787	GO:0003677
N_5412._tr|B4J6V2|B4J6V2_DROGR	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5413._tr|B4JVX3|B4JVX3_DROGR	
N_5414._tr|B4K0D6|B4K0D6_DROGR	
N_5415._tr|B4J4T1|B4J4T1_DROGR	GO:0004930	GO:0007186	GO:0016021
N_5416._tr|B4J3X9|B4J3X9_DROGR	GO:0016021
N_5417._tr|B4J870|B4J870_DROGR	GO:0000030
N_5418._tr|B4IZE0|B4IZE0_DROGR	GO:0004176	GO:0004222	GO:0005524	GO:0006508	GO:0005524	GO:0016887	GO:0004176	GO:0004222	GO:0005524	GO:0008270	GO:0016021	GO:0005524	GO:0016887
N_5419._tr|B4JIN3|B4JIN3_DROGR	
N_5420._tr|B4JWJ9|B4JWJ9_DROGR	GO:0005515	GO:0005515	GO:0005515	GO:0042802	GO:0046983	GO:0005515
N_5421._tr|B4IZB5|B4IZB5_DROGR	
N_5422._tr|B4JNF5|B4JNF5_DROGR	GO:0007165	GO:0003924	GO:0005525
N_5423._tr|B4JG88|B4JG88_DROGR	
N_5424._tr|B4J5D2|B4J5D2_DROGR	GO:0005576	GO:0042742	GO:0005576
N_5425._tr|B4J1F5|B4J1F5_DROGR	
N_5426._tr|B4JYG3|B4JYG3_DROGR	
N_5427._sp|B4JVW6|ASPG1_DROGR	GO:0016787
N_5428._tr|B4JHH5|B4JHH5_DROGR	GO:0016298
N_5429._tr|B4JAR7|B4JAR7_DROGR	
N_5430._tr|B4J6A7|B4J6A7_DROGR	
N_5431._tr|B4J7Y2|B4J7Y2_DROGR	GO:0004252	GO:0006508	GO:0005515	GO:0016020	GO:0005515
N_5432._tr|B4JID2|B4JID2_DROGR	GO:0005515
N_5433._tr|B4JLB2|B4JLB2_DROGR	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_5434._tr|B4JU84|B4JU84_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0005515	GO:0004672	GO:0006468
N_5435._tr|B4JQN4|B4JQN4_DROGR	GO:0005102	GO:0007275	GO:0016055	GO:0005576
N_5436._tr|B4JVZ9|B4JVZ9_DROGR	GO:0005515
N_5437._tr|B4JNW4|B4JNW4_DROGR	
N_5438._tr|B4JH01|B4JH01_DROGR	GO:0006364
N_5439._tr|B4J3S0|B4J3S0_DROGR	
N_5440._tr|B4J178|B4J178_DROGR	
N_5441._tr|B4J0Y6|B4J0Y6_DROGR	
N_5442._tr|B4JSF8|B4JSF8_DROGR	GO:0003735	GO:0005762
N_5443._tr|B4J1A4|B4J1A4_DROGR	GO:0005216	GO:0006811	GO:0055085	GO:0016020
N_5444._tr|B4JJS7|B4JJS7_DROGR	GO:0046983
N_5445._tr|B4J141|B4J141_DROGR	GO:0005515
N_5446._tr|B4J1H7|B4J1H7_DROGR	GO:0019843	GO:0006364
N_5447._tr|B4JY74|B4JY74_DROGR	
N_5448._tr|B4JJR8|B4JJR8_DROGR	
N_5449._tr|B4JUP1|B4JUP1_DROGR	GO:0003677	GO:0008134	GO:0006355	GO:0005730	GO:0003779
N_5450._tr|B4JK01|B4JK01_DROGR	
N_5451._tr|B4JCV3|B4JCV3_DROGR	
N_5452._tr|B4J4Y3|B4J4Y3_DROGR	GO:0000166	GO:0003677
N_5453._tr|B4JJ48|B4JJ48_DROGR	
N_5454._tr|B4JI07|B4JI07_DROGR	GO:0005515
N_5455._tr|B4JX10|B4JX10_DROGR	
N_5456._tr|B4J0Q2|B4J0Q2_DROGR	GO:0004345	GO:0050661	GO:0006006	GO:0016614	GO:0050661	GO:0006006
N_5457._tr|B4J5Q9|B4J5Q9_DROGR	GO:0004252	GO:0006508
